crop,area1000hectares,production1000tonnes,irrigatedarea1000hectares,districtcode,year,statecode,statename,nitrogenconsumptiontonnes,phosphateconsumptiontonnes,potashconsumptiontonnes,districtname
Finger Millet,,,,1,2017,14,Chhattisgarh,91447,53486,16993,Durg
Finger Millet,6.3000002,1.4400001,0.0,2,2017,14,Chhattisgarh,21279,12584,4271,Bastar
Finger Millet,0.19,0.039999999,0.0,3,2017,14,Chhattisgarh,92008,47721,15054,Raipur
Finger Millet,,,,4,2017,14,Chhattisgarh,72926,29713,6915,Bilaspur
Finger Millet,0.23999999,0.039999999,0.0,5,2017,14,Chhattisgarh,31282,13620,3707,Raigarh
Finger Millet,0.52999997,0.12,0.0,6,2017,14,Chhattisgarh,21139,11878,4438,Surguja
Finger Millet,,,,7,2017,6,Madhya Pradesh,62230,30800,2116,Jabalpur
Finger Millet,,,,8,2017,6,Madhya Pradesh,18299,10688,575,Balaghat
Finger Millet,,,,9,2017,6,Madhya Pradesh,57518,20108,6518,Chhindwara
Finger Millet,,,,10,2017,6,Madhya Pradesh,21631,10429,2037,Narsinghpur
Finger Millet,,,,11,2017,6,Madhya Pradesh,48504,13250,1833,Seoni / Shivani
Finger Millet,,,,12,2017,6,Madhya Pradesh,11207,4172,136,Mandla
Finger Millet,,,,13,2017,6,Madhya Pradesh,20399,17510,506,Sagar
Finger Millet,,,,14,2017,6,Madhya Pradesh,10634,9534,115,Damoh
Finger Millet,,,,15,2017,6,Madhya Pradesh,8357,3862,98,Tikamgarh
Finger Millet,,,,16,2017,6,Madhya Pradesh,14565,11159,140,Chhatarpur
Finger Millet,,,,17,2017,6,Madhya Pradesh,6615,4493,54,Panna
Finger Millet,,,,18,2017,6,Madhya Pradesh,26124,11848,200,Rewa
Finger Millet,,,,19,2017,6,Madhya Pradesh,10828,4735,39,Sidhi
Finger Millet,,,,20,2017,6,Madhya Pradesh,29067,15084,353,Satna
Finger Millet,,,,21,2017,6,Madhya Pradesh,10825,6431,163,Shahdol
Finger Millet,,,,22,2017,6,Madhya Pradesh,27042,12605,467,Gwalior
Finger Millet,,,,23,2017,6,Madhya Pradesh,19578,13081,371,Shivpuri
Finger Millet,,,,24,2017,6,Madhya Pradesh,29620,22561,315,Guna
Finger Millet,,,,25,2017,6,Madhya Pradesh,21273,7790,249,Datia
Finger Millet,,,,26,2017,6,Madhya Pradesh,49982,18447,680,Morena
Finger Millet,,,,27,2017,6,Madhya Pradesh,28195,14286,258,Bhind
Finger Millet,,,,28,2017,6,Madhya Pradesh,39595,20470,5622,Indore
Finger Millet,,,,29,2017,6,Madhya Pradesh,35385,17110,4806,Ratlam
Finger Millet,,,,30,2017,6,Madhya Pradesh,42030,30956,5569,Ujjain
Finger Millet,,,,31,2017,6,Madhya Pradesh,43079,20401,6526,Mandsaur
Finger Millet,,,,32,2017,6,Madhya Pradesh,27680,15628,3499,Dewas
Finger Millet,,,,33,2017,6,Madhya Pradesh,66096,32417,7376,Dhar
Finger Millet,,,,34,2017,6,Madhya Pradesh,31046,8329,1223,Jhabua
Finger Millet,,,,37,2017,6,Madhya Pradesh,63904,34186,1417,Sehore
Finger Millet,,,,38,2017,6,Madhya Pradesh,40839,23884,876,Raisen
Finger Millet,,,,39,2017,6,Madhya Pradesh,23628,20800,801,Vidisha
Finger Millet,,,,40,2017,6,Madhya Pradesh,32640,10643,1553,Betul
Finger Millet,,,,41,2017,6,Madhya Pradesh,35199,21501,1209,Rajgarh
Finger Millet,,,,42,2017,6,Madhya Pradesh,27278,21798,3008,Shajapur
Finger Millet,,,,43,2017,6,Madhya Pradesh,87707,51050,5087,Hoshangabad
Finger Millet,5.3099999,8.0900002,4.2600002,44,2017,1,Andhra Pradesh,55301,19214,13016,Srikakulam
Finger Millet,18.25,19.09,0.63999999,45,2017,1,Andhra Pradesh,48118,9836,7491,Visakhapatnam
Finger Millet,0.28999999,0.28999999,0.0,46,2017,1,Andhra Pradesh,84246,30862,28384,East Godavari
Finger Millet,,,,47,2017,1,Andhra Pradesh,106191,49578,46863,West Godavari
Finger Millet,,,,48,2017,1,Andhra Pradesh,84529,39105,20768,Krishna
Finger Millet,0.72000003,0.91000003,0.54400003,49,2017,1,Andhra Pradesh,173584,89900,25004,Guntur
Finger Millet,0.38999999,0.60000002,0.301,50,2017,1,Andhra Pradesh,98386,38207,20817,S.P.S. Nellore
Finger Millet,0.12,0.2,0.085000001,51,2017,1,Andhra Pradesh,140564,80498,24777,Kurnool
Finger Millet,2.46,5.9499998,1.92,52,2017,1,Andhra Pradesh,38288,26127,12070,Ananthapur
Finger Millet,0.18000001,0.34999999,0.17,53,2017,1,Andhra Pradesh,47161,24126,12776,Kadapa YSR
Finger Millet,6.73,8.5200005,1.62,54,2017,1,Andhra Pradesh,43320,15960,8962,Chittoor
Finger Millet,0.079999998,0.090000004,0.0,55,2017,20,Telangana,29965,15280,10357,Hyderabad
Finger Millet,,,,56,2017,20,Telangana,93054,30033,11208,Nizamabad
Finger Millet,,,,57,2017,20,Telangana,13194,8958,2670,Medak
Finger Millet,1.38,1.5700001,0.244,58,2017,20,Telangana,74046,35010,8556,Mahabubnagar
Finger Millet,,,,59,2017,20,Telangana,33043,14763,5605,Nalgonda
Finger Millet,,,,60,2017,20,Telangana,122203,31481,16202,Warangal
Finger Millet,,,,61,2017,20,Telangana,15181,8795,3643,Khammam
Finger Millet,,,,62,2017,20,Telangana,12532,5973,1849,Karimnagar
Finger Millet,,,,63,2017,20,Telangana,59648,13502,6270,Adilabad
Finger Millet,125.46,302.45999,1.75,64,2017,5,Karnataka,37554,15679,5330,Bangalore
Finger Millet,115.08,293.09,3.5,65,2017,5,Karnataka,29931,18362,7165,Kolar
Finger Millet,144.55,226.84,3.1800001,66,2017,5,Karnataka,24548,13290,6346,Tumkur
Finger Millet,76.139999,136.22,6.1500001,67,2017,5,Karnataka,46920,23006,18188,Mysore
Finger Millet,83.790001,140.67,29.809999,68,2017,5,Karnataka,49044,13855,9299,Mandya
Finger Millet,94.629997,242.27,4.9699998,69,2017,5,Karnataka,32894,19091,15439,Hassan
Finger Millet,73.389999,137.28999,11.94,72,2017,5,Karnataka,63447,36388,13890,Chitradurga
Finger Millet,11.0,15.23,1.0,73,2017,5,Karnataka,70669,37463,13491,Bellary
Finger Millet,0.19,0.23999999,0.02,74,2017,5,Karnataka,62588,31066,12903,Dharwad
Finger Millet,0.43000001,0.60000002,0.0,75,2017,5,Karnataka,92878,39229,33264,Belgaum
Finger Millet,,,,76,2017,5,Karnataka,73977,37407,23520,Bijapur / Vijayapura
Finger Millet,,,,77,2017,5,Karnataka,10275,8497,2388,Bidar
Finger Millet,,,,78,2017,5,Karnataka,115832,62617,22756,Raichur
Finger Millet,,,,79,2017,5,Karnataka,70290,46001,12551,Gulbarga / Kalaburagi
Finger Millet,,,,80,2017,5,Karnataka,9700,6090,9147,Dakshina Kannada
Finger Millet,,,,81,2017,5,Karnataka,8781,4050,3845,Uttara Kannada
Finger Millet,,,,82,2017,5,Karnataka,19657,11983,13550,Kodagu / Coorg
Finger Millet,2.4400001,7.6500001,0.0,84,2017,11,Tamil Nadu,85137,31903,28361,South Arcot / Cuddalore
Finger Millet,11.62,42.549999,0.0,85,2017,11,Tamil Nadu,68430,23100,18324,North Arcot / Vellore
Finger Millet,65.839996,250.35001,0.0049999999,86,2017,11,Tamil Nadu,46708,30730,23106,Salem
Finger Millet,0.02,0.07,0.0,87,2017,11,Tamil Nadu,26117,14250,21215,Coimbatore
Finger Millet,3.77,11.07,0.0,88,2017,11,Tamil Nadu,68490,25236,26076,Tiruchirapalli / Trichy
Finger Millet,1.76,5.1399999,0.0,89,2017,11,Tamil Nadu,70852,27786,27935,Thanjavur
Finger Millet,0.050000001,0.19,0.0,90,2017,11,Tamil Nadu,34392,15902,13182,Madurai
Finger Millet,0.47,2.03,0.0,91,2017,11,Tamil Nadu,40673,6659,3086,Ramananthapuram
Finger Millet,0.050000001,0.22,0.0,92,2017,11,Tamil Nadu,27878,10765,7054,Thirunelveli
Finger Millet,,,,93,2017,11,Tamil Nadu,4848,1399,1900,The Nilgiris
Finger Millet,,,,94,2017,11,Tamil Nadu,9769,3667,2443,Kanyakumari
Finger Millet,13.9,14.5,0.0,96,2017,7,Maharashtra,16562,2610,2021,Thane
Finger Millet,6.6999998,5.3000002,0.0,97,2017,7,Maharashtra,8955,1235,1219,Raigad
Finger Millet,16.0,24.0,0.0,98,2017,7,Maharashtra,11045,3303,2364,Ratnagiri
Finger Millet,1.62,2.21,0.0,100,2017,7,Maharashtra,74311,30280,28300,Dhule
Finger Millet,,,,101,2017,7,Maharashtra,96772,47696,74158,Jalgaon
Finger Millet,0.1,0.1,0.0,102,2017,7,Maharashtra,105164,66273,41883,Ahmednagar
Finger Millet,2.7,2.2,0.0,103,2017,7,Maharashtra,97238,48290,34456,Pune
Finger Millet,4.5,5.0999999,0.0,104,2017,7,Maharashtra,49264,25804,19926,Satara
Finger Millet,,,,105,2017,7,Maharashtra,54620,27950,24678,Sangli
Finger Millet,,,,106,2017,7,Maharashtra,101756,49267,38343,Solapur
Finger Millet,21.299999,34.0,0.0,107,2017,7,Maharashtra,70996,31024,30580,Kolhapur
Finger Millet,,,,108,2017,7,Maharashtra,136182,72462,41774,Aurangabad
Finger Millet,,,,109,2017,7,Maharashtra,52514,39238,16574,Parbhani
Finger Millet,,,,110,2017,7,Maharashtra,60321,41388,21125,Beed
Finger Millet,,,,111,2017,7,Maharashtra,75364,56691,30042,Nanded
Finger Millet,,,,112,2017,7,Maharashtra,57017,50445,19119,Osmanabad
Finger Millet,,,,113,2017,7,Maharashtra,46834,37943,13656,Buldhana
Finger Millet,,,,114,2017,7,Maharashtra,34359,30699,10789,Akola
Finger Millet,,,,115,2017,7,Maharashtra,35041,25616,13467,Amarawati
Finger Millet,,,,117,2017,7,Maharashtra,30404,21073,16426,Wardha
Finger Millet,,,,118,2017,7,Maharashtra,50667,30322,10873,Nagpur
Finger Millet,,,,119,2017,7,Maharashtra,39166,17288,2044,Bhandara
Finger Millet,,,,120,2017,7,Maharashtra,56306,27211,6878,Chandrapur
Finger Millet,,,,121,2017,3,Gujarat,94632,24161,2928,Ahmedabad
Finger Millet,,,,122,2017,3,Gujarat,47379,24276,2811,Amreli
Finger Millet,,,,123,2017,3,Gujarat,120126,36046,12799,Banaskantha
Finger Millet,,,,124,2017,3,Gujarat,45972,10291,10661,Bharuch
Finger Millet,,,,125,2017,3,Gujarat,77898,14371,8959,Vadodara / Baroda
Finger Millet,,,,126,2017,3,Gujarat,62843,29291,5417,Bhavnagar
Finger Millet,4.3200002,3.1400001,0.0,127,2017,3,Gujarat,31633,10840,9019,Valsad
Finger Millet,7.5599999,7.5100002,0.0,128,2017,3,Gujarat,503,107,56,Dangs
Finger Millet,,,,129,2017,3,Gujarat,46817,29139,4865,Jamnagar
Finger Millet,,,,130,2017,3,Gujarat,64706,33437,7048,Junagadh
Finger Millet,,,,131,2017,3,Gujarat,128342,16619,7165,Kheda
Finger Millet,,,,135,2017,3,Gujarat,108519,54681,12824,Rajkot
Finger Millet,,,,136,2017,3,Gujarat,81747,23767,14109,Sabarkantha
Finger Millet,,,,137,2017,3,Gujarat,80074,30311,27213,Surat
Finger Millet,,,,138,2017,3,Gujarat,83525,31749,2648,Surendranagar
Finger Millet,,,,139,2017,10,Rajasthan,10572,6290,62,Ajmer
Finger Millet,,,,140,2017,10,Rajasthan,37580,5713,1337,Alwar
Finger Millet,,,,141,2017,10,Rajasthan,32995,5817,500,Banswara
Finger Millet,,,,142,2017,10,Rajasthan,12912,2366,281,Barmer
Finger Millet,,,,143,2017,10,Rajasthan,61795,20378,599,Bharatpur
Finger Millet,,,,144,2017,10,Rajasthan,22307,5226,239,Bhilwara
Finger Millet,,,,145,2017,10,Rajasthan,22487,10645,232,Bikaner
Finger Millet,,,,146,2017,10,Rajasthan,40163,12315,382,Bundi
Finger Millet,,,,147,2017,10,Rajasthan,45171,17017,1479,Chittorgarh
Finger Millet,,,,148,2017,10,Rajasthan,8065,1810,39,Churu
Finger Millet,,,,149,2017,10,Rajasthan,6142,858,73,Dungarpur
Finger Millet,,,,150,2017,10,Rajasthan,137173,58094,5526,Ganganagar
Finger Millet,,,,151,2017,10,Rajasthan,60575,22655,1213,Jaipur
Finger Millet,,,,152,2017,10,Rajasthan,7838,3190,82,Jaisalmer
Finger Millet,,,,153,2017,10,Rajasthan,29682,6176,1501,Jalore
Finger Millet,,,,154,2017,10,Rajasthan,30476,14084,346,Jhalawar
Finger Millet,,,,156,2017,10,Rajasthan,35672,17058,1783,Jodhpur
Finger Millet,,,,157,2017,10,Rajasthan,82586,36328,1863,Kota
Finger Millet,,,,158,2017,10,Rajasthan,24470,13532,1394,Nagaur
Finger Millet,,,,159,2017,10,Rajasthan,13748,11119,604,Pali
Finger Millet,,,,160,2017,10,Rajasthan,39972,12592,332,Swami Madhopur
Finger Millet,,,,161,2017,10,Rajasthan,15594,5243,286,Sikar
Finger Millet,,,,162,2017,10,Rajasthan,14531,4303,406,Sirohi
Finger Millet,,,,163,2017,10,Rajasthan,22553,9945,209,Tonk
Finger Millet,,,,164,2017,10,Rajasthan,34494,10333,2659,Udaipur
Finger Millet,,,,165,2017,9,Punjab,87626,16847,2293,Gurdaspur
Finger Millet,,,,166,2017,9,Punjab,137546,37153,5623,Amritsar
Finger Millet,,,,167,2017,9,Punjab,43368,6625,2281,Kapurthala
Finger Millet,,,,168,2017,9,Punjab,84815,29066,4517,Jalandhar
Finger Millet,,,,169,2017,9,Punjab,55772,21295,3397,Hoshiarpur
Finger Millet,,,,170,2017,9,Punjab,27850,8908,2929,Roopnagar / Ropar
Finger Millet,,,,171,2017,9,Punjab,167082,26004,2370,Ludhiana
Finger Millet,,,,172,2017,9,Punjab,234282,61477,8041,Ferozpur
Finger Millet,,,,174,2017,9,Punjab,187996,33795,9297,Bhatinda
Finger Millet,,,,175,2017,9,Punjab,139068,36351,4210,Sangrur
Finger Millet,,,,176,2017,9,Punjab,158811,21365,6382,Patiala
Finger Millet,,,,177,2017,4,Haryana,294303,93574,14466,Hissar
Finger Millet,,,,180,2017,4,Haryana,86086,26452,4543,Gurgaon
Finger Millet,,,,181,2017,4,Haryana,100027,22141,4945,Jind
Finger Millet,,,,182,2017,4,Haryana,69467,28506,3232,Mahendragarh / Narnaul
Finger Millet,,,,183,2017,4,Haryana,110935,24676,5835,Ambala
Finger Millet,,,,184,2017,4,Haryana,269227,53753,9657,Karnal
Finger Millet,,,,186,2017,4,Haryana,119225,31168,3532,Rohtak
Finger Millet,,,,189,2017,12,Uttar Pradesh,74705,22791,3929,Saharanpur
Finger Millet,,,,190,2017,12,Uttar Pradesh,61628,22361,4033,Muzaffarnagar
Finger Millet,,,,191,2017,12,Uttar Pradesh,126304,42423,8036,Meerut
Finger Millet,,,,192,2017,12,Uttar Pradesh,75318,29161,6014,Buland Shahar
Finger Millet,,,,194,2017,12,Uttar Pradesh,147208,53176,14941,Aligarh
Finger Millet,,,,195,2017,12,Uttar Pradesh,79175,27861,4306,Mathura
Finger Millet,,,,196,2017,12,Uttar Pradesh,136016,50349,22334,Agra
Finger Millet,,,,197,2017,12,Uttar Pradesh,83825,33051,4412,Mainpuri
Finger Millet,,,,198,2017,12,Uttar Pradesh,71089,28153,5522,Etah
Finger Millet,,,,199,2017,12,Uttar Pradesh,61248,18465,3575,Bareilly
Finger Millet,,,,200,2017,12,Uttar Pradesh,70074,24426,4650,Budaun
Finger Millet,,,,201,2017,12,Uttar Pradesh,77372,21815,4821,Moradabad
Finger Millet,,,,202,2017,12,Uttar Pradesh,109135,34321,7757,Shahjahanpur
Finger Millet,,,,203,2017,12,Uttar Pradesh,43952,12733,3917,Pilibhit
Finger Millet,,,,204,2017,12,Uttar Pradesh,26893,5349,1051,Rampur
Finger Millet,,,,205,2017,12,Uttar Pradesh,42398,14381,3426,Bijnor
Finger Millet,,,,206,2017,12,Uttar Pradesh,97642,27112,10933,Farrukhabad
Finger Millet,,,,207,2017,12,Uttar Pradesh,67862,27997,2552,Etawah
Finger Millet,,,,208,2017,12,Uttar Pradesh,124649,45131,7720,Kanpur
Finger Millet,,,,209,2017,12,Uttar Pradesh,49651,20660,2863,Fatehpur
Finger Millet,,,,210,2017,12,Uttar Pradesh,108387,39828,13191,Allahabad
Finger Millet,,,,211,2017,12,Uttar Pradesh,66983,48399,2534,Jhansi
Finger Millet,,,,213,2017,12,Uttar Pradesh,34091,17988,1110,Jalaun
Finger Millet,,,,214,2017,12,Uttar Pradesh,33248,20580,1666,Hamirpur
Finger Millet,,,,215,2017,12,Uttar Pradesh,31565,19178,2047,Banda
Finger Millet,,,,216,2017,12,Uttar Pradesh,87883,26904,4706,Varanasi
Finger Millet,,,,218,2017,12,Uttar Pradesh,48177,17780,2322,Jaunpur
Finger Millet,,,,219,2017,12,Uttar Pradesh,47591,18207,2463,Ghazipur
Finger Millet,,,,220,2017,12,Uttar Pradesh,35302,15283,2455,Ballia
Finger Millet,,,,221,2017,12,Uttar Pradesh,111370,33124,9619,Gorakhpur
Finger Millet,,,,222,2017,12,Uttar Pradesh,62812,23174,5327,Deoria
Finger Millet,,,,223,2017,12,Uttar Pradesh,88716,31875,7716,Basti
Finger Millet,,,,224,2017,12,Uttar Pradesh,79550,30817,4398,Azamgarh
Finger Millet,,,,225,2017,12,Uttar Pradesh,21074,9715,622,Lucknow
Finger Millet,,,,226,2017,12,Uttar Pradesh,41140,16272,1593,Unnao
Finger Millet,,,,227,2017,12,Uttar Pradesh,75823,30469,3511,Rae-Bareily
Finger Millet,,,,228,2017,12,Uttar Pradesh,88206,32282,7455,Sitapur
Finger Millet,,,,229,2017,12,Uttar Pradesh,94914,35036,2807,Hardoi
Finger Millet,,,,230,2017,12,Uttar Pradesh,45798,15564,4193,Kheri
Finger Millet,,,,231,2017,12,Uttar Pradesh,62705,23442,4158,Faizabad
Finger Millet,,,,232,2017,12,Uttar Pradesh,60511,21845,5206,Gonda
Finger Millet,,,,233,2017,12,Uttar Pradesh,76222,28989,12216,Bahraich
Finger Millet,,,,234,2017,12,Uttar Pradesh,50043,20285,2169,Sultanpur
Finger Millet,,,,235,2017,12,Uttar Pradesh,28992,11866,4210,Pratapgarh
Finger Millet,,,,236,2017,12,Uttar Pradesh,57527,17469,2933,Barabanki
Finger Millet,1.9,3.1099999,0.029999999,237,2017,16,Uttarakhand,117390,15316,6314,Nainital
Finger Millet,36.919998,40.279999,0.02,238,2017,16,Uttarakhand,428,112,36,Almorah
Finger Millet,11.92,19.790001,0.0,239,2017,16,Uttarakhand,475,127,43,Pithorgarh
Finger Millet,16.209999,23.91,0.0,240,2017,16,Uttarakhand,86,45,2,Chamoli
Finger Millet,5.23,9.2200003,0.0,241,2017,16,Uttarakhand,137,149,33,Uttar Kashi
Finger Millet,11.08,17.549999,0.02,242,2017,16,Uttarakhand,75,33,2,Tehri Garhwal
Finger Millet,17.08,23.049999,0.0,243,2017,16,Uttarakhand,374,103,6,Garhwal
Finger Millet,1.17,1.9400001,0.0,244,2017,16,Uttarakhand,3319,887,99,Dehradun
Finger Millet,,,,601,2017,17,Assam,18845,6022,5409,Cachar
Finger Millet,,,,602,2017,17,Assam,17159,5484,4925,Darrang
Finger Millet,,,,603,2017,17,Assam,15212,4861,4367,Dibrugarh
Finger Millet,,,,604,2017,17,Assam,30285,9638,8693,Goalpara
Finger Millet,,,,605,2017,17,Assam,27341,8737,7849,Kamrup
Finger Millet,,,,606,2017,17,Assam,3226,1031,926,Karbi Anglong
Finger Millet,,,,607,2017,17,Assam,10347,3306,2966,Lakhimpur
Finger Millet,,,,609,2017,17,Assam,15521,4960,4456,Nagaon
Finger Millet,,,,626,2017,18,Himachal Pradesh,1915,107,45,Bilashpur
Finger Millet,,,,627,2017,18,Himachal Pradesh,1134,88,63,Chamba
Finger Millet,,,,629,2017,18,Himachal Pradesh,14180,2766,1409,Kangra
Finger Millet,0.02,0.0099999998,0.0099999998,630,2017,18,Himachal Pradesh,111,64,89,Kinnaur
Finger Millet,0.2,0.16,0.33399999,631,2017,18,Himachal Pradesh,2786,1384,1882,Kullu
Finger Millet,,,,632,2017,18,Himachal Pradesh,182,183,109,Lahul & Spiti
Finger Millet,,,,633,2017,18,Himachal Pradesh,2429,474,253,Solan
Finger Millet,0.69999999,0.69,11.696,634,2017,18,Himachal Pradesh,4378,1152,892,Mandi
Finger Millet,0.63999999,0.89999998,0.40099999,635,2017,18,Himachal Pradesh,6111,2888,6051,Shimla
Finger Millet,0.25,0.15000001,9.4180002,636,2017,18,Himachal Pradesh,3375,665,387,Sirmaur
Finger Millet,,,,651,2017,19,Kerala,9747,2587,2629,Alappuzha
Finger Millet,,,,652,2017,19,Kerala,11783,4305,7718,Kannur
Finger Millet,0.029999999,0.050000001,0.0,655,2017,19,Kerala,25706,9087,12772,Kottayam
Finger Millet,,,,656,2017,19,Kerala,9488,3722,7182,Kozhikode
Finger Millet,,,,657,2017,19,Kerala,9128,3381,5504,Malappuram
Finger Millet,0.050000001,0.050000001,0.0,658,2017,19,Kerala,28176,5271,6717,Palakkad
Finger Millet,,,,659,2017,19,Kerala,6507,3559,4216,Kollam
Finger Millet,,,,660,2017,19,Kerala,12512,3057,4532,Thrissur
Finger Millet,,,,661,2017,19,Kerala,6500,1439,809,Thiruvananthapuram
Finger Millet,0.07,0.050000001,0.0,901,2017,2,Bihar,125927,46593,20330,Champaran
Finger Millet,0.090000004,0.090000004,0.050000001,902,2017,2,Bihar,109463,43421,21188,Muzaffarpur
Finger Millet,0.64999998,1.22,0.60000002,903,2017,2,Bihar,79877,31528,13340,Darbhanga
Finger Millet,1.98,1.4400001,0.0,904,2017,2,Bihar,44082,18294,11692,Saharsa
Finger Millet,0.94,0.92000002,0.0,906,2017,2,Bihar,65685,16211,3535,Saran
Finger Millet,,,,907,2017,2,Bihar,90899,24771,4278,Patna
Finger Millet,0.1,0.1,0.0,908,2017,2,Bihar,125661,42562,21130,Mungair
Finger Millet,,,,909,2017,2,Bihar,60780,19306,11211,Bhagalpur
Finger Millet,1.6900001,1.21,17.784,910,2017,15,Jharkhand,29186,28287,7303,Santhal Paragana / Dumka
Finger Millet,,,,911,2017,2,Bihar,162928,50799,7932,Shahabad (now part of Bhojpur district)
Finger Millet,0.25,0.25,0.0099999998,912,2017,2,Bihar,99317,30221,4369,Gaya
Finger Millet,2.6400001,1.85,16.091,913,2017,15,Jharkhand,15376,11091,1486,Hazaribagh
Finger Millet,0.28999999,0.2,0.245,914,2017,15,Jharkhand,427,297,82,Dhanbad
Finger Millet,0.28,0.31,24.889999,915,2017,15,Jharkhand,16063,8959,1702,Palamau
Finger Millet,11.21,13.14,4.7519999,916,2017,15,Jharkhand,28893,20374,3949,Ranchi
Finger Millet,2.9100001,1.78,0.285,917,2017,15,Jharkhand,2588,1600,122,Singhbhum
