crop,area1000hectares,production1000tonnes,irrigatedarea1000hectares,districtcode,year,statecode,statename,nitrogenconsumptiontonnes,phosphateconsumptiontonnes,potashconsumptiontonnes,districtname,district,kharif_rainfall_mm,District Name,salinity_alkalinity_percentage
Finger Millet,,,,1,2017,14,Chhattisgarh,91447,53486,16993,Durg,Durg,805.98,Durg,0.0
Finger Millet,6.3000002,1.4400001,0.0,2,2017,14,Chhattisgarh,21279,12584,4271,Bastar,Bastar,781.24999,Bastar,0.0
Finger Millet,0.19,0.039999999,0.0,3,2017,14,Chhattisgarh,92008,47721,15054,Raipur,Raipur,621.32999,Raipur,0.0
Finger Millet,,,,4,2017,14,Chhattisgarh,72926,29713,6915,Bilaspur,Bilaspur,606.37,Bilaspur,0.390813256
Finger Millet,0.23999999,0.039999999,0.0,5,2017,14,Chhattisgarh,31282,13620,3707,Raigarh,Raigarh,563.34,Raigarh,0.0
Finger Millet,0.52999997,0.12,0.0,6,2017,14,Chhattisgarh,21139,11878,4438,Surguja,Surguja,516.769989,Surguja,0.0
Finger Millet,,,,7,2017,6,Madhya Pradesh,62230,30800,2116,Jabalpur,Jabalpur,775.4,Jabalpur,0.0
Finger Millet,,,,8,2017,6,Madhya Pradesh,18299,10688,575,Balaghat,Balaghat,899.95999,Balaghat,0.0
Finger Millet,,,,9,2017,6,Madhya Pradesh,57518,20108,6518,Chhindwara,Chhindwara,882.4997900000001,Chhindwara,0.0
Finger Millet,,,,10,2017,6,Madhya Pradesh,21631,10429,2037,Narsinghpur,Narsinghpur,771.73,Narsinghpur,0.0
Finger Millet,,,,11,2017,6,Madhya Pradesh,48504,13250,1833,Seoni,Seoni,845.30999,Seoni,0.0
Finger Millet,,,,12,2017,6,Madhya Pradesh,11207,4172,136,Mandla,Mandla,864.13001,Mandla,0.0
Finger Millet,,,,13,2017,6,Madhya Pradesh,20399,17510,506,Sagar,Sagar,832.8900100000001,Sagar,0.026945804
Finger Millet,,,,14,2017,6,Madhya Pradesh,10634,9534,115,Damoh,Damoh,711.789992,Damoh,0.0
Finger Millet,,,,15,2017,6,Madhya Pradesh,8357,3862,98,Tikamgarh,Tikamgarh,573.660016,Tikamgarh,0.0
Finger Millet,,,,16,2017,6,Madhya Pradesh,14565,11159,140,Chhatarpur,Chhatarpur,641.629988,Chhatarpur,0.028967587
Finger Millet,,,,17,2017,6,Madhya Pradesh,6615,4493,54,Panna,Panna,778.030002,Panna,0.097995568
Finger Millet,,,,18,2017,6,Madhya Pradesh,26124,11848,200,Rewa,Rewa,735.399998,Rewa,0.0
Finger Millet,,,,19,2017,6,Madhya Pradesh,10828,4735,39,Sidhi,Sidhi,748.500007,Sidhi,0.0
Finger Millet,,,,20,2017,6,Madhya Pradesh,29067,15084,353,Satna,Satna,673.725718,Satna,0.077830968
Finger Millet,,,,21,2017,6,Madhya Pradesh,10825,6431,163,Shahdol,Shahdol,695.331075,Shahdol,0.0
Finger Millet,,,,22,2017,6,Madhya Pradesh,27042,12605,467,Gwalior,Gwalior,410.739987,Gwalior,7.497097925
Finger Millet,,,,23,2017,6,Madhya Pradesh,19578,13081,371,Shivpuri,Shivpuri,487.100002,Shivpuri,0.234281321
Finger Millet,,,,24,2017,6,Madhya Pradesh,29620,22561,315,Guna,Guna,652.379991,Guna,0.0
Finger Millet,,,,25,2017,6,Madhya Pradesh,21273,7790,249,Datia,Datia,410.900781,Datia,7.39401972
Finger Millet,,,,26,2017,6,Madhya Pradesh,49982,18447,680,Morena,Morena,459.31,Morena,1.992025151
Finger Millet,,,,27,2017,6,Madhya Pradesh,28195,14286,258,Bhind,Bhind,465.070001,Bhind,9.704449373
Finger Millet,,,,28,2017,6,Madhya Pradesh,39595,20470,5622,Indore,Indore,724.27001,Indore,0.046443486
Finger Millet,,,,29,2017,6,Madhya Pradesh,35385,17110,4806,Ratlam,Ratlam,809.689987,Ratlam,5.433769244
Finger Millet,,,,30,2017,6,Madhya Pradesh,42030,30956,5569,Ujjain,Ujjain,795.3299900000001,Ujjain,8.159691036
Finger Millet,,,,31,2017,6,Madhya Pradesh,43079,20401,6526,Mandsaur,Mandsaur,933.900002,Mandsaur,9.485868506
Finger Millet,,,,32,2017,6,Madhya Pradesh,27680,15628,3499,Dewas,Dewas,646.65001,Dewas,1.117636308
Finger Millet,,,,33,2017,6,Madhya Pradesh,66096,32417,7376,Dhar,Dhar,744.47,Dhar,0.253968898
Finger Millet,,,,34,2017,6,Madhya Pradesh,31046,8329,1223,Jhabua,Jhabua,838.9599900000001,Jhabua,0.118634386
Finger Millet,,,,37,2017,6,Madhya Pradesh,63904,34186,1417,Sehore,Sehore,799.1999900000001,Sehore,0.0
Finger Millet,,,,38,2017,6,Madhya Pradesh,40839,23884,876,Raisen,Raisen,845.5600000000001,Raisen,0.0
Finger Millet,,,,39,2017,6,Madhya Pradesh,23628,20800,801,Vidisha,Vidisha,787.12001,Vidisha,0.0
Finger Millet,,,,40,2017,6,Madhya Pradesh,32640,10643,1553,Betul,Betul,654.62,Betul,0.0
Finger Millet,,,,41,2017,6,Madhya Pradesh,35199,21501,1209,Rajgarh,Rajgarh,755.74002,Rajgarh,0.0
Finger Millet,,,,42,2017,6,Madhya Pradesh,27278,21798,3008,Shajapur,Shajapur,754.15002,Shajapur,0.0
Finger Millet,,,,43,2017,6,Madhya Pradesh,87707,51050,5087,Hoshangabad,Hoshangabad,840.1300000000001,Hoshangabad,0.0
Finger Millet,5.3099999,8.0900002,4.2600002,44,2017,1,Andhra Pradesh,55301,19214,13016,Srikakulam,Srikakulam,674.830004,Srikakulam,0.0
Finger Millet,18.25,19.09,0.63999999,45,2017,1,Andhra Pradesh,48118,9836,7491,Visakhapatanam,Visakhapatanam,633.17999,Visakhapatanam,0.058204873
Finger Millet,0.28999999,0.28999999,0.0,46,2017,1,Andhra Pradesh,84246,30862,28384,East Godavari,East Godavari,768.5845300000001,East Godavari,0.0
Finger Millet,,,,47,2017,1,Andhra Pradesh,106191,49578,46863,West Godavari,West Godavari,755.60771,West Godavari,0.0
Finger Millet,,,,48,2017,1,Andhra Pradesh,84529,39105,20768,Krishna,Krishna,607.329997,Krishna,11.94890312
Finger Millet,0.72000003,0.91000003,0.54400003,49,2017,1,Andhra Pradesh,173584,89900,25004,Guntur,Guntur,518.73001,Guntur,16.86394141
Finger Millet,0.38999999,0.60000002,0.301,50,2017,1,Andhra Pradesh,98386,38207,20817,Spsr Nellore,Spsr Nellore,446.650001,Spsr Nellore,10.1296106
Finger Millet,0.12,0.2,0.085000001,51,2017,1,Andhra Pradesh,140564,80498,24777,Kurnool,Kurnool,359.79,Kurnool,12.74332121
Finger Millet,2.46,5.9499998,1.92,52,2017,1,Andhra Pradesh,38288,26127,12070,Anantapur,Anantapur,359.970007,Anantapur,12.34188169
Finger Millet,0.18000001,0.34999999,0.17,53,2017,1,Andhra Pradesh,47161,24126,12776,Y.S.R.,Y.S.R.,469.070002,Y.S.R.,4.378520281
Finger Millet,6.73,8.5200005,1.62,54,2017,1,Andhra Pradesh,43320,15960,8962,Chittoor,Chittoor,382.300001,Chittoor,2.652205203
Finger Millet,0.079999998,0.090000004,0.0,55,2017,20,Telangana,29965,15280,10357,Hyderabad,Hyderabad,708.28,Hyderabad,0.0
Finger Millet,,,,56,2017,20,Telangana,93054,30033,11208,Nizamabad,Nizamabad,670.78002,Nizamabad,1.724911466
Finger Millet,,,,57,2017,20,Telangana,13194,8958,2670,Medak,Medak,666.8199999999999,Medak,1.005789909
Finger Millet,1.38,1.5700001,0.244,58,2017,20,Telangana,74046,35010,8556,Mahabubnagar,Mahabubnagar,533.05583,Mahabubnagar,17.58192712
Finger Millet,,,,59,2017,20,Telangana,33043,14763,5605,Nalgonda,Nalgonda,569.40002,Nalgonda,15.80632803
Finger Millet,,,,60,2017,20,Telangana,122203,31481,16202,Warangal,Warangal,791.53,Warangal,18.359901685
Finger Millet,,,,61,2017,20,Telangana,15181,8795,3643,Khammam,Khammam,793.1099899999999,Khammam,31.33744182
Finger Millet,,,,62,2017,20,Telangana,12532,5973,1849,Karimnagar,Karimnagar,637.0799999999999,Karimnagar,11.12488977
Finger Millet,,,,63,2017,20,Telangana,59648,13502,6270,Adilabad,Adilabad,623.0400099999999,Adilabad,0.454825911
Finger Millet,125.46,302.45999,1.75,64,2017,5,Karnataka,37554,15679,5330,Bangalore,Bangalore,593.379999,Bangalore,0.073116581
Finger Millet,115.08,293.09,3.5,65,2017,5,Karnataka,29931,18362,7165,Kolar,Kolar,591.249989,Kolar,0.086816909
Finger Millet,144.55,226.84,3.1800001,66,2017,5,Karnataka,24548,13290,6346,Tumakuru,Tumakuru,459.830011,Tumakuru,1.0458634
Finger Millet,76.139999,136.22,6.1500001,67,2017,5,Karnataka,46920,23006,18188,Mysuru,Mysuru,500.479995,Mysuru,0.949660522
Finger Millet,83.790001,140.67,29.809999,68,2017,5,Karnataka,49044,13855,9299,Mandya,Mandya,467.17999,Mandya,0.102585889
Finger Millet,94.629997,242.27,4.9699998,69,2017,5,Karnataka,32894,19091,15439,Hassan,Hassan,583.919997,Hassan,0.025147948
Finger Millet,73.389999,137.28999,11.94,72,2017,5,Karnataka,63447,36388,13890,Chitradurga,Chitradurga,358.479998,Chitradurga,5.517792473
Finger Millet,11.0,15.23,1.0,73,2017,5,Karnataka,70669,37463,13491,Ballari,Ballari,470.020001,Ballari,6.439305471
Finger Millet,0.19,0.23999999,0.02,74,2017,5,Karnataka,62588,31066,12903,Dharwad,Dharwad,398.939997,Dharwad,63.78398811
Finger Millet,0.43000001,0.60000002,0.0,75,2017,5,Karnataka,92878,39229,33264,Belagavi,Belagavi,387.049988,Belagavi,16.50813143
Finger Millet,,,,76,2017,5,Karnataka,73977,37407,23520,Vijayapura,Vijayapura,508.919997,Vijayapura,32.51771844
Finger Millet,,,,77,2017,5,Karnataka,10275,8497,2388,Bidar,Bidar,687.689999,Bidar,2.144761905
Finger Millet,,,,78,2017,5,Karnataka,115832,62617,22756,Raichur,Raichur,535.689999,Raichur,40.20297263
Finger Millet,,,,79,2017,5,Karnataka,70290,46001,12551,Kalaburagi,Kalaburagi,652.700022,Kalaburagi,14.96447745
Finger Millet,,,,80,2017,5,Karnataka,9700,6090,9147,Dakshina Kannada,Dakshina Kannada,1539.89998,Dakshina Kannada,0.02462354
Finger Millet,,,,81,2017,5,Karnataka,8781,4050,3845,Uttara Kannada,Uttara Kannada,843.01999,Uttara Kannada,0.370385583
Finger Millet,,,,82,2017,5,Karnataka,19657,11983,13550,Kodagu,Kodagu,654.99001,Kodagu,0.0
Finger Millet,2.4400001,7.6500001,0.0,84,2017,11,Tamil Nadu,85137,31903,28361,Cuddalore,Cuddalore,248.689998,Cuddalore,21.8151964
Finger Millet,11.62,42.549999,0.0,85,2017,11,Tamil Nadu,68430,23100,18324,Vellore,Vellore,486.510002,Vellore,1.069750348
Finger Millet,65.839996,250.35001,0.0049999999,86,2017,11,Tamil Nadu,46708,30730,23106,Salem,Salem,347.430001,Salem,1.03138624
Finger Millet,0.02,0.07,0.0,87,2017,11,Tamil Nadu,26117,14250,21215,Coimbatore,Coimbatore,397.839852,Coimbatore,7.470587913
Finger Millet,3.77,11.07,0.0,88,2017,11,Tamil Nadu,68490,25236,26076,Tiruchirappalli,Tiruchirappalli,281.2400004,Tiruchirappalli,12.34029691
Finger Millet,1.76,5.1399999,0.0,89,2017,11,Tamil Nadu,70852,27786,27935,Thanjavur,Thanjavur,329.41344200000003,Thanjavur,49.72568708
Finger Millet,0.050000001,0.19,0.0,90,2017,11,Tamil Nadu,34392,15902,13182,Madurai,Madurai,213.3800009,Madurai,31.60176581
Finger Millet,0.47,2.03,0.0,91,2017,11,Tamil Nadu,40673,6659,3086,Ramanathapuram,Ramanathapuram,92.06000202,Ramanathapuram,55.34157079
Finger Millet,0.050000001,0.22,0.0,92,2017,11,Tamil Nadu,27878,10765,7054,Tirunelveli,Tirunelveli,182.9799996,Tirunelveli,18.40676124
Finger Millet,,,,93,2017,11,Tamil Nadu,4848,1399,1900,The Nilgiris,The Nilgiris,400.929327,The Nilgiris,0.0
Finger Millet,,,,94,2017,11,Tamil Nadu,9769,3667,2443,Kanniyakumari,Kanniyakumari,283.250001,Kanniyakumari,0.311027623
Finger Millet,13.9,14.5,0.0,96,2017,7,Maharashtra,16562,2610,2021,Thane,Thane,3201.87999,Thane,2.603828331
Finger Millet,6.6999998,5.3000002,0.0,97,2017,7,Maharashtra,8955,1235,1219,Raigad,Raigad,3497.56003,Raigad,6.553890926
Finger Millet,16.0,24.0,0.0,98,2017,7,Maharashtra,11045,3303,2364,Ratnagiri,Ratnagiri,3392.85996,Ratnagiri,0.942008525
Finger Millet,1.62,2.21,0.0,100,2017,7,Maharashtra,74311,30280,28300,Dhule,Dhule,212.790001,Dhule,1.993371106
Finger Millet,,,,101,2017,7,Maharashtra,96772,47696,74158,Jalgaon,Jalgaon,674.49999,Jalgaon,11.39637414
Finger Millet,0.1,0.1,0.0,102,2017,7,Maharashtra,105164,66273,41883,Ahmednagar,Ahmednagar,1528.68003,Ahmednagar,2.882446944
Finger Millet,2.7,2.2,0.0,103,2017,7,Maharashtra,97238,48290,34456,Pune,Pune,3811.90996,Pune,1.139323747
Finger Millet,4.5,5.0999999,0.0,104,2017,7,Maharashtra,49264,25804,19926,Satara,Satara,4152.49,Satara,0.486302781
Finger Millet,,,,105,2017,7,Maharashtra,54620,27950,24678,Sangli,Sangli,1854.30002,Sangli,3.064618315
Finger Millet,,,,106,2017,7,Maharashtra,101756,49267,38343,Solapur,Solapur,906.30998,Solapur,3.721281441
Finger Millet,21.299999,34.0,0.0,107,2017,7,Maharashtra,70996,31024,30580,Kolhapur,Kolhapur,2995.15002,Kolhapur,1.226774015
Finger Millet,,,,108,2017,7,Maharashtra,136182,72462,41774,Aurangabad,Aurangabad,1300.21667,Aurangabad,0.870511425
Finger Millet,,,,109,2017,7,Maharashtra,52514,39238,16574,Parbhani,Parbhani,665.220003,Parbhani,0.0
Finger Millet,,,,110,2017,7,Maharashtra,60321,41388,21125,Beed,Beed,702.41001,Beed,0.0
Finger Millet,,,,111,2017,7,Maharashtra,75364,56691,30042,Nanded,Nanded,817.17001,Nanded,0.23905484
Finger Millet,,,,112,2017,7,Maharashtra,57017,50445,19119,Osmanabad,Osmanabad,603.700001,Osmanabad,0.061651055
Finger Millet,,,,113,2017,7,Maharashtra,46834,37943,13656,Buldhana,Buldhana,294.050005,Buldhana,2.436014768
Finger Millet,,,,114,2017,7,Maharashtra,34359,30699,10789,Akola,Akola,266.323455,Akola,7.86291722
Finger Millet,,,,115,2017,7,Maharashtra,35041,25616,13467,Amravati,Amravati,454.040013,Amravati,7.95235118
Finger Millet,,,,117,2017,7,Maharashtra,30404,21073,16426,Wardha,Wardha,749.32998,Wardha,0.0
Finger Millet,,,,118,2017,7,Maharashtra,50667,30322,10873,Nagpur,Nagpur,894.6800000000001,Nagpur,0.0
Finger Millet,,,,119,2017,7,Maharashtra,39166,17288,2044,Bhandara,Bhandara,857.3499899999999,Bhandara,0.0
Finger Millet,,,,120,2017,7,Maharashtra,56306,27211,6878,Chandrapur,Chandrapur,792.41,Chandrapur,0.028132066
Finger Millet,,,,121,2017,3,Gujarat,94632,24161,2928,Ahmadabad,Ahmadabad,577.830477,Ahmadabad,83.01628856
Finger Millet,,,,122,2017,3,Gujarat,47379,24276,2811,Amreli,Amreli,0.0,Amreli,27.80520836
Finger Millet,,,,123,2017,3,Gujarat,120126,36046,12799,Banas Kantha,Banas Kantha,992.529998,Banas Kantha,71.26614624
Finger Millet,,,,124,2017,3,Gujarat,45972,10291,10661,Bharuch,Bharuch,759.0399970000001,Bharuch,47.63096805
Finger Millet,,,,125,2017,3,Gujarat,77898,14371,8959,Vadodara,Vadodara,583.030008,Vadodara,4.29097786
Finger Millet,,,,126,2017,3,Gujarat,62843,29291,5417,Bhavnagar,Bhavnagar,560.5528509999999,Bhavnagar,44.3074253
Finger Millet,4.3200002,3.1400001,0.0,127,2017,3,Gujarat,31633,10840,9019,Valsad,Valsad,2136.90011,Valsad,2.452587927
Finger Millet,7.5599999,7.5100002,0.0,128,2017,3,Gujarat,503,107,56,Dang,Dang,1218.66999,Dang,0.0
Finger Millet,,,,129,2017,3,Gujarat,46817,29139,4865,Jamnagar,Jamnagar,688.27998,Jamnagar,17.3893176
Finger Millet,,,,130,2017,3,Gujarat,64706,33437,7048,Junagadh,Junagadh,0.0,Junagadh,16.38507966
Finger Millet,,,,131,2017,3,Gujarat,128342,16619,7165,Kheda,Kheda,530.939916,Kheda,8.393974429
Finger Millet,,,,135,2017,3,Gujarat,108519,54681,12824,Rajkot,Rajkot,809.272438,Rajkot,0.471389363
Finger Millet,,,,136,2017,3,Gujarat,81747,23767,14109,Sabar Kantha,Sabar Kantha,798.430016,Sabar Kantha,0.074435133
Finger Millet,,,,137,2017,3,Gujarat,80074,30311,27213,Surat,Surat,1027.95003,Surat,17.13575214
Finger Millet,,,,138,2017,3,Gujarat,83525,31749,2648,Surendranagar,Surendranagar,874.500002,Surendranagar,47.37891282
Finger Millet,,,,139,2017,10,Rajasthan,10572,6290,62,Ajmer,Ajmer,477.6,Ajmer,27.88060649
Finger Millet,,,,140,2017,10,Rajasthan,37580,5713,1337,Alwar,Alwar,530.44001,Alwar,0.81667436
