,crop,area1000hectares,production1000tonnes,irrigatedarea1000hectares,districtcode,year,statecode,statename,nitrogenconsumptiontonnes,phosphateconsumptiontonnes,potashconsumptiontonnes,districtname
3666,Cotton,65.720001,30.82,66.019997,182,2017,4,Haryana,69467,28506,3232,Mahendragarh / Narnaul
3670,Barley,2.7,9.9899998,3.3199999,182,2017,4,Haryana,69467,28506,3232,Mahendragarh / Narnaul
3672,Rice,10.59,25.52,10.73,182,2017,4,Haryana,69467,28506,3232,Mahendragarh / Narnaul
3698,Minor Pulses,0.89999998,17.0,1.0,184,2017,4,Haryana,269227,53753,9657,Karnal
3704,Pearl Millet,2.45,4.9200001,2.6400001,184,2017,4,Haryana,269227,53753,9657,Karnal
3709,Wheat,515.45001,2536.6201,515.67999,184,2017,4,Haryana,269227,53753,9657,Karnal
3728,Minor Pulses,1.5,11.0,2.1300001,186,2017,4,Haryana,119225,31168,3532,Rohtak
3732,Maize,0.80000001,4.0,1.0,186,2017,4,Haryana,119225,31168,3532,Rohtak
3736,Rice,197.13,502.64999,197.25999,186,2017,4,Haryana,119225,31168,3532,Rohtak
3740,Wheat,156.61,588.91998,182.991,189,2017,12,Uttar Pradesh,74705,22791,3929,Saharanpur
3742,Barley,0.050000001,0.13,0.838,189,2017,12,Uttar Pradesh,74705,22791,3929,Saharanpur
3746,Chickpea,0.02,0.0099999998,0.030999999,189,2017,12,Uttar Pradesh,74705,22791,3929,Saharanpur
3761,Rice,70.550003,185.44,93.632004,189,2017,12,Uttar Pradesh,74705,22791,3929,Saharanpur
3767,Minor Pulses,2.28,1.73,2.8299999,190,2017,12,Uttar Pradesh,61628,22361,4033,Muzaffarnagar
3770,Wheat,135.25999,569.22998,136.713,190,2017,12,Uttar Pradesh,61628,22361,4033,Muzaffarnagar
3775,Barley,0.19,0.52999997,1.128,190,2017,12,Uttar Pradesh,61628,22361,4033,Muzaffarnagar
3777,Sesamum,0.02,0.0099999998,0.023,190,2017,12,Uttar Pradesh,61628,22361,4033,Muzaffarnagar
3778,Rice,32.93,93.32,42.245998,190,2017,12,Uttar Pradesh,61628,22361,4033,Muzaffarnagar
3788,Chickpea,0.0099999998,0.0099999998,0.029999999,191,2017,12,Uttar Pradesh,126304,42423,8036,Meerut
3797,Wheat,219.37,932.16998,223.005,191,2017,12,Uttar Pradesh,126304,42423,8036,Meerut
3802,Rice,52.41,145.28999,76.292,191,2017,12,Uttar Pradesh,126304,42423,8036,Meerut
3813,Sorghum (Kharif),0.0099999998,0.0099999998,0.13600001,192,2017,12,Uttar Pradesh,75318,29161,6014,Buland Shahar
3815,Cotton,0.13,0.0099999998,0.36300001,192,2017,12,Uttar Pradesh,75318,29161,6014,Buland Shahar
3818,Pearl Millet,15.58,29.91,17.84,192,2017,12,Uttar Pradesh,75318,29161,6014,Buland Shahar
3820,Wheat,215.96001,968.15997,224.02699,192,2017,12,Uttar Pradesh,75318,29161,6014,Buland Shahar
3822,Rice,102.1,304.57999,127.331,192,2017,12,Uttar Pradesh,75318,29161,6014,Buland Shahar
3823,Minor Pulses,6.3200002,5.9200001,6.5819998,192,2017,12,Uttar Pradesh,75318,29161,6014,Buland Shahar
3825,Chickpea,0.02,0.02,0.068999998,192,2017,12,Uttar Pradesh,75318,29161,6014,Buland Shahar
3826,Pigeonpea,6.5999999,5.8499999,7.1220002,192,2017,12,Uttar Pradesh,75318,29161,6014,Buland Shahar
3829,Sesamum,0.1,0.029999999,0.41800001,194,2017,12,Uttar Pradesh,147208,53176,14941,Aligarh
3831,Sorghum (Kharif),0.0099999998,0.0099999998,0.029999999,194,2017,12,Uttar Pradesh,147208,53176,14941,Aligarh
3832,Cotton,1.98,0.17,4.0760002,194,2017,12,Uttar Pradesh,147208,53176,14941,Aligarh
3839,Pigeonpea,10.43,7.9499998,11.618,194,2017,12,Uttar Pradesh,147208,53176,14941,Aligarh
3840,Rice,107.56,278.09,132.89,194,2017,12,Uttar Pradesh,147208,53176,14941,Aligarh
3842,Groundnut,0.029999999,0.029999999,0.089000002,194,2017,12,Uttar Pradesh,147208,53176,14941,Aligarh
3846,Minor Pulses,8.7799997,7.3200002,14.222,194,2017,12,Uttar Pradesh,147208,53176,14941,Aligarh
3850,Rice,46.130001,83.540001,49.581001,195,2017,12,Uttar Pradesh,79175,27861,4306,Mathura
3863,Sorghum (Kharif),0.02,0.02,0.024,195,2017,12,Uttar Pradesh,79175,27861,4306,Mathura
3864,Maize,0.15000001,0.41999999,0.66600001,195,2017,12,Uttar Pradesh,79175,27861,4306,Mathura
3866,Pigeonpea,1.28,0.94999999,1.877,195,2017,12,Uttar Pradesh,79175,27861,4306,Mathura
3868,Barley,3.8699999,12.5,4.6869998,195,2017,12,Uttar Pradesh,79175,27861,4306,Mathura
3871,Minor Pulses,2.1700001,1.0599999,2.4389999,195,2017,12,Uttar Pradesh,79175,27861,4306,Mathura
3872,Rice,12.91,34.080002,18.582001,196,2017,12,Uttar Pradesh,136016,50349,22334,Agra
3875,Minor Pulses,1.86,1.8099999,3.079,196,2017,12,Uttar Pradesh,136016,50349,22334,Agra
3877,Cotton,0.33000001,0.0099999998,2.7119999,196,2017,12,Uttar Pradesh,136016,50349,22334,Agra
3878,Maize,2.6400001,7.3800001,3.9990001,196,2017,12,Uttar Pradesh,136016,50349,22334,Agra
3897,Groundnut,0.51999998,0.58999997,2.4349999,197,2017,12,Uttar Pradesh,83825,33051,4412,Mainpuri
3901,Rice,76.610001,226.59,84.067001,197,2017,12,Uttar Pradesh,83825,33051,4412,Mainpuri
3904,Chickpea,0.86000001,1.64,0.91000003,197,2017,12,Uttar Pradesh,83825,33051,4412,Mainpuri
3920,Groundnut,0.75,0.75999999,0.80199999,198,2017,12,Uttar Pradesh,71089,28153,5522,Etah
3921,Wheat,229.73,904.14001,240.94901,198,2017,12,Uttar Pradesh,71089,28153,5522,Etah
3922,Maize,56.52,145.03999,66.839996,198,2017,12,Uttar Pradesh,71089,28153,5522,Etah
3924,Sorghum (Kharif),0.050000001,0.050000001,0.27700001,198,2017,12,Uttar Pradesh,71089,28153,5522,Etah
3932,Rice,28.790001,71.300003,50.318001,198,2017,12,Uttar Pradesh,71089,28153,5522,Etah
3933,Sesamum,0.79000002,0.23,1.101,198,2017,12,Uttar Pradesh,71089,28153,5522,Etah
3942,Rice,145.23,357.42001,168.30499,199,2017,12,Uttar Pradesh,61248,18465,3575,Bareilly
3946,Chickpea,0.02,0.02,0.022,199,2017,12,Uttar Pradesh,61248,18465,3575,Bareilly
3953,Barley,0.050000001,0.13,0.146,199,2017,12,Uttar Pradesh,61248,18465,3575,Bareilly
3956,Wheat,195.12,716.28003,205.86301,199,2017,12,Uttar Pradesh,61248,18465,3575,Bareilly
3958,Sorghum (Kharif),0.090000004,0.090000004,0.26800001,199,2017,12,Uttar Pradesh,61248,18465,3575,Bareilly
3963,Chickpea,0.029999999,0.039999999,0.38999999,200,2017,12,Uttar Pradesh,70074,24426,4650,Budaun
3966,Wheat,276.29001,1013.67,300.80301,200,2017,12,Uttar Pradesh,70074,24426,4650,Budaun
3973,Rice,88.349998,188.48,100.686,200,2017,12,Uttar Pradesh,70074,24426,4650,Budaun
3980,Maize,10.44,23.450001,12.648,200,2017,12,Uttar Pradesh,70074,24426,4650,Budaun
3982,Wheat,300.44,1101.13,302.582,201,2017,12,Uttar Pradesh,77372,21815,4821,Moradabad
3990,Maize,5.6399999,12.08,10.168,201,2017,12,Uttar Pradesh,77372,21815,4821,Moradabad
3991,Rice,140.63,327.23999,142.735,201,2017,12,Uttar Pradesh,77372,21815,4821,Moradabad
3992,Sugarcane,142.64,1171.08,148.338,201,2017,12,Uttar Pradesh,77372,21815,4821,Moradabad
4002,Barley,0.38,1.08,0.93300003,201,2017,12,Uttar Pradesh,77372,21815,4821,Moradabad
4014,Pigeonpea,0.31,0.28,0.56900001,202,2017,12,Uttar Pradesh,109135,34321,7757,Shahjahanpur
4016,Wheat,247.7,989.81,265.815,202,2017,12,Uttar Pradesh,109135,34321,7757,Shahjahanpur
4018,Sugarcane,45.740002,371.07999,55.909,202,2017,12,Uttar Pradesh,109135,34321,7757,Shahjahanpur
4027,Wheat,131.99001,559.22998,156.08501,203,2017,12,Uttar Pradesh,43952,12733,3917,Pilibhit
4035,Barley,0.0,0.0099999998,0.0070000002,203,2017,12,Uttar Pradesh,43952,12733,3917,Pilibhit
4042,Rice,140.74001,461.07999,152.437,203,2017,12,Uttar Pradesh,43952,12733,3917,Pilibhit
4045,Chickpea,0.1,0.11,0.121,203,2017,12,Uttar Pradesh,43952,12733,3917,Pilibhit
4049,Barley,0.0099999998,0.029999999,0.189,204,2017,12,Uttar Pradesh,26893,5349,1051,Rampur
4055,Chickpea,0.02,0.02,0.054000001,204,2017,12,Uttar Pradesh,26893,5349,1051,Rampur
4061,Sugarcane,21.85,163.94,23.086,204,2017,12,Uttar Pradesh,26893,5349,1051,Rampur
4069,Sesamum,0.039999999,0.0099999998,0.109,204,2017,12,Uttar Pradesh,26893,5349,1051,Rampur
4075,Barley,0.0,0.0099999998,0.147,205,2017,12,Uttar Pradesh,42398,14381,3426,Bijnor
4086,Chickpea,0.0099999998,0.02,0.055,205,2017,12,Uttar Pradesh,42398,14381,3426,Bijnor
4091,Sugarcane,201.63,1681.51,215.533,205,2017,12,Uttar Pradesh,42398,14381,3426,Bijnor
4098,Sugarcane,8.3599997,54.630001,8.6569996,206,2017,12,Uttar Pradesh,97642,27112,10933,Farrukhabad
4100,Rice,34.619999,108.09,46.970001,206,2017,12,Uttar Pradesh,97642,27112,10933,Farrukhabad
4103,Sesamum,4.04,0.81999999,4.2059999,206,2017,12,Uttar Pradesh,97642,27112,10933,Farrukhabad
4107,Sorghum (Kharif),2.8699999,4.3899999,3.2650001,206,2017,12,Uttar Pradesh,97642,27112,10933,Farrukhabad
4109,Maize,85.470001,268.38,92.375999,206,2017,12,Uttar Pradesh,97642,27112,10933,Farrukhabad
4114,Wheat,198.17,756.58002,203.77901,207,2017,12,Uttar Pradesh,67862,27997,2552,Etawah
4121,Rice,101.35,295.29999,112.932,207,2017,12,Uttar Pradesh,67862,27997,2552,Etawah
4154,Sugarcane,4.1100001,26.01,5.1690001,208,2017,12,Uttar Pradesh,124649,45131,7720,Kanpur
4156,Rice,73.989998,221.22,86.595001,208,2017,12,Uttar Pradesh,124649,45131,7720,Kanpur
4160,Rice,82.059998,216.64999,88.695999,209,2017,12,Uttar Pradesh,49651,20660,2863,Fatehpur
4162,Wheat,170.17,591.42999,175.539,209,2017,12,Uttar Pradesh,49651,20660,2863,Fatehpur
4169,Sugarcane,6.3800001,23.42,7.6690001,209,2017,12,Uttar Pradesh,49651,20660,2863,Fatehpur
4180,Rice,215.88,575.92999,290.95099,210,2017,12,Uttar Pradesh,108387,39828,13191,Allahabad
4189,Groundnut,0.02,0.02,0.048,210,2017,12,Uttar Pradesh,108387,39828,13191,Allahabad
4201,Wheat,283.10999,1021.87,321.28699,210,2017,12,Uttar Pradesh,108387,39828,13191,Allahabad
4202,Wheat,302.29999,818.40002,316.495,211,2017,12,Uttar Pradesh,66983,48399,2534,Jhansi
4224,Rice,0.27000001,0.34,1.395,213,2017,12,Uttar Pradesh,34091,17988,1110,Jalaun
4240,Wheat,160.36,581.16998,166.845,213,2017,12,Uttar Pradesh,34091,17988,1110,Jalaun
4254,Wheat,161.50999,440.67999,172.752,214,2017,12,Uttar Pradesh,33248,20580,1666,Hamirpur
4256,Rice,0.079999998,0.15000001,0.98500001,214,2017,12,Uttar Pradesh,33248,20580,1666,Hamirpur
4277,Rice,60.720001,118.86,84.635002,215,2017,12,Uttar Pradesh,31565,19178,2047,Banda
4279,Wheat,208.72,495.10999,265.08499,215,2017,12,Uttar Pradesh,31565,19178,2047,Banda
4285,Maize,0.02,0.039999999,0.022,215,2017,12,Uttar Pradesh,31565,19178,2047,Banda
4318,Wheat,207.67,735.15002,215.90199,218,2017,12,Uttar Pradesh,48177,17780,2322,Jaunpur
4324,Rice,157.28,362.67999,159.98199,218,2017,12,Uttar Pradesh,48177,17780,2322,Jaunpur
4343,Rice,154.82001,384.25,173.73599,219,2017,12,Uttar Pradesh,47591,18207,2463,Ghazipur
4351,Wheat,166.21001,494.14999,185.38499,219,2017,12,Uttar Pradesh,47591,18207,2463,Ghazipur
4360,Wheat,136.89,495.07001,146.85899,220,2017,12,Uttar Pradesh,35302,15283,2455,Ballia
4388,Chickpea,0.34999999,0.38,0.47,221,2017,12,Uttar Pradesh,111370,33124,9619,Gorakhpur
4396,Wheat,337.69,1330.08,344.57599,221,2017,12,Uttar Pradesh,111370,33124,9619,Gorakhpur
4399,Pearl Millet,0.0099999998,0.02,0.029999999,221,2017,12,Uttar Pradesh,111370,33124,9619,Gorakhpur
4409,Wheat,271.13,894.56,275.59799,222,2017,12,Uttar Pradesh,62812,23174,5327,Deoria
4410,Sorghum (Kharif),0.039999999,0.07,0.104,222,2017,12,Uttar Pradesh,62812,23174,5327,Deoria
4411,Chickpea,0.11,0.12,0.23999999,222,2017,12,Uttar Pradesh,62812,23174,5327,Deoria
4424,Wheat,368.44,1391.74,387.79099,223,2017,12,Uttar Pradesh,88716,31875,7716,Basti
4437,Sugarcane,45.959999,303.70001,50.811001,223,2017,12,Uttar Pradesh,88716,31875,7716,Basti
4455,Sorghum (Kharif),0.029999999,0.039999999,0.066,224,2017,12,Uttar Pradesh,79550,30817,4398,Azamgarh
4480,Rice,51.619999,139.73,54.200001,225,2017,12,Uttar Pradesh,21074,9715,622,Lucknow
4501,Sugarcane,0.61000001,4.7800002,1.247,226,2017,12,Uttar Pradesh,41140,16272,1593,Unnao
4508,Rice,94.989998,199.19,107.836,226,2017,12,Uttar Pradesh,41140,16272,1593,Unnao
4522,Rice,140.34,342.72,169.80499,227,2017,12,Uttar Pradesh,75823,30469,3511,Rae-Bareily
4527,Wheat,188.22,661.65002,214.295,227,2017,12,Uttar Pradesh,75823,30469,3511,Rae-Bareily
4549,Rice,163.87,384.10001,168.44501,228,2017,12,Uttar Pradesh,88206,32282,7455,Sitapur
4553,Wheat,210.92999,685.96002,219.59801,228,2017,12,Uttar Pradesh,88206,32282,7455,Sitapur
4565,Wheat,314.42999,1155.22,329.26199,229,2017,12,Uttar Pradesh,94914,35036,2807,Hardoi
4590,Sugarcane,248.13,2002.65,281.51501,230,2017,12,Uttar Pradesh,45798,15564,4193,Kheri
4598,Maize,3.5899999,6.96,4.0580001,231,2017,12,Uttar Pradesh,62705,23442,4158,Faizabad
4600,Rice,220.25,643.47998,223.09399,231,2017,12,Uttar Pradesh,62705,23442,4158,Faizabad
4613,Sugarcane,31.940001,242.55,39.675999,231,2017,12,Uttar Pradesh,62705,23442,4158,Faizabad
4617,Pearl Millet,0.0099999998,0.02,0.171,231,2017,12,Uttar Pradesh,62705,23442,4158,Faizabad
4645,Wheat,236.37,850.34003,250.358,233,2017,12,Uttar Pradesh,76222,28989,12216,Bahraich
4688,Sugarcane,0.82999998,3.05,0.85399997,235,2017,12,Uttar Pradesh,28992,11866,4210,Pratapgarh
4690,Wheat,148.32001,469.72,155.252,235,2017,12,Uttar Pradesh,28992,11866,4210,Pratapgarh
4698,Maize,0.60000002,1.35,1.256,235,2017,12,Uttar Pradesh,28992,11866,4210,Pratapgarh
4700,Rice,96.360001,227.78999,148.543,235,2017,12,Uttar Pradesh,28992,11866,4210,Pratapgarh
4708,Barley,0.059999999,0.19,0.105,236,2017,12,Uttar Pradesh,57527,17469,2933,Barabanki
4713,Rice,181.60001,520.65997,198.735,236,2017,12,Uttar Pradesh,57527,17469,2933,Barabanki
4728,Wheat,168.35001,677.09003,169.06799,236,2017,12,Uttar Pradesh,57527,17469,2933,Barabanki
4795,Sugarcane,0.0,0.029999999,0.0099999998,239,2017,16,Uttarakhand,475,127,43,Pithorgarh
5131,Pearl Millet,0.050000001,0.039999999,10.867,629,2017,18,Himachal Pradesh,14180,2766,1409,Kangra
5171,Finger Millet,0.2,0.16,0.33399999,631,2017,18,Himachal Pradesh,2786,1384,1882,Kullu
5184,Groundnut,0.0099999998,0.02,1.12,631,2017,18,Himachal Pradesh,2786,1384,1882,Kullu
5211,Barley,0.44,0.40000001,0.54699999,632,2017,18,Himachal Pradesh,182,183,109,Lahul & Spiti
5212,Maize,0.02,0.059999999,0.041999999,632,2017,18,Himachal Pradesh,182,183,109,Lahul & Spiti
5245,Pearl Millet,0.02,0.02,3.1800001,634,2017,18,Himachal Pradesh,4378,1152,892,Mandi
5256,Finger Millet,0.69999999,0.69,11.696,634,2017,18,Himachal Pradesh,4378,1152,892,Mandi
5274,Groundnut,0.0099999998,0.0099999998,1.595,635,2017,18,Himachal Pradesh,6111,2888,6051,Shimla
5287,Groundnut,0.0099999998,0.0099999998,19.961,636,2017,18,Himachal Pradesh,3375,665,387,Sirmaur
5301,Finger Millet,0.25,0.15000001,9.4180002,636,2017,18,Himachal Pradesh,3375,665,387,Sirmaur
5319,Sugarcane,0.029999999,0.23,0.039999999,651,2017,19,Kerala,9747,2587,2629,Alappuzha
5344,Sugarcane,0.0,0.039999999,0.0040000002,652,2017,19,Kerala,11783,4305,7718,Kannur
5433,Sugarcane,0.079999998,0.75,0.171,658,2017,19,Kerala,28176,5271,6717,Palakkad
5686,Finger Millet,1.6900001,1.21,17.784,910,2017,15,Jharkhand,29186,28287,7303,Santhal Paragana / Dumka
5690,Pearl Millet,0.050000001,0.039999999,1.1289999,910,2017,15,Jharkhand,29186,28287,7303,Santhal Paragana / Dumka
5697,Groundnut,2.72,2.22,19.438,910,2017,15,Jharkhand,29186,28287,7303,Santhal Paragana / Dumka
5743,Groundnut,3.8299999,4.0,16.458,913,2017,15,Jharkhand,15376,11091,1486,Hazaribagh
5744,Pearl Millet,0.029999999,0.0099999998,0.078000002,913,2017,15,Jharkhand,15376,11091,1486,Hazaribagh
5754,Finger Millet,2.6400001,1.85,16.091,913,2017,15,Jharkhand,15376,11091,1486,Hazaribagh
5757,Sesamum,0.88999999,0.36000001,1.742,913,2017,15,Jharkhand,15376,11091,1486,Hazaribagh
5790,Finger Millet,0.28,0.31,24.889999,915,2017,15,Jharkhand,16063,8959,1702,Palamau
5796,Groundnut,6.2399998,4.7800002,80.515999,915,2017,15,Jharkhand,16063,8959,1702,Palamau
5819,Pearl Millet,0.02,0.0099999998,0.30899999,916,2017,15,Jharkhand,28893,20374,3949,Ranchi
5849,Groundnut,1.48,1.27,2.1919999,917,2017,15,Jharkhand,2588,1600,122,Singhbhum
